2011/10/7   5:22:0   /data/fit/20111007.bks.fitex
bmnum = 23   intt = 2   tfreq = 10407   noise_lev = 175   xcf = 0   scan = 1
npnts = 3   nrang = 100
gate  pwr_lag0/ pwr_l     vel    gscat  vel_err  width_l width_l_err pwr_l_err
 96       4.  /   3.    -3318.     0       37.      41.      52.       5.
 95       4.  /   4.      -54.     0       51.      44.      35.       5.
 94       4.  /   3.      372.     0       48.      21.      54.       5.
 
2011/10/7   5:22:3   /data/fit/20111007.bks.fitex
bmnum = 7   intt = 2   tfreq = 10407   noise_lev = 106   xcf = 0   scan = 0
npnts = 20   nrang = 100
gate  pwr_lag0/ pwr_l     vel    gscat  vel_err  width_l width_l_err pwr_l_err
 82       6.  /   4.     1718.     0       19.      70.      68.       5.
 63       9.  /   7.    -1673.     0        6.      52.      77.       5.
 42       4.  /   5.    -1664.     0       24.     114.      34.       5.
 29       6.  /   5.       37.     0       16.      67.      42.       5.
 26       5.  /   4.       26.     0       18.      41.      51.       5.
 25       6.  /   6.       30.     0       12.      75.      13.       5.
 24       8.  /   6.       52.     0        1.      20.      61.       5.
 23       8.  /   6.       46.     0       17.      55.      31.       5.
 22       9.  /   8.       28.     0        8.      32.      26.       5.
 21       7.  /   8.       22.     1       15.      -3.      17.       5.
 20       9.  /   8.       16.     1       12.     -20.      18.       5.
 19       8.  /   6.       21.     1       16.     -15.      20.       5.
 18      12.  /  11.       13.     1       10.      24.      19.       5.
 17       9.  /   8.       14.     1       11.       6.      18.       5.
 16      10.  /   9.       12.     1        6.      -9.      34.       5.
 15       9.  /   9.        9.     1       10.       5.       7.       5.
 14       9.  /   8.        5.     1       17.      -3.      17.       5.
 13      16.  /  15.       15.     1        7.      14.      12.       5.
 12      17.  /  17.       14.     1        6.       5.       4.       5.
 11      10.  /   8.       24.     1       11.      10.      30.       5.
 
2011/10/7   5:22:5   /data/fit/20111007.bks.fitex
bmnum = 22   intt = 2   tfreq = 10407   noise_lev = 110   xcf = 0   scan = 0
npnts = 1   nrang = 100
gate  pwr_lag0/ pwr_l     vel    gscat  vel_err  width_l width_l_err pwr_l_err
 75       5.  /   3.     1027.     0       38.      32.      43.       5.
 
2011/10/7   5:22:8   /data/fit/20111007.bks.fitex
bmnum = 7   intt = 2   tfreq = 10412   noise_lev = 137   xcf = 0   scan = 0
npnts = 28   nrang = 100
gate  pwr_lag0/ pwr_l     vel    gscat  vel_err  width_l width_l_err pwr_l_err
 87       5.  /   3.     1252.     0       32.       9.      35.       5.
 84       5.  /   4.      210.     0       37.      90.      27.       5.
 49       6.  /   5.       18.     0       18.      92.      51.       5.
 48       6.  /   7.      -18.     0        9.     123.      24.       5.
 47      10.  /  10.        4.     1       14.       5.      11.       5.
 46      11.  /  11.        2.     0        7.      38.      19.       5.
 45       9.  /   8.       -4.     0       10.      33.      21.       5.
 44       7.  /   6.        7.     0       23.      62.      34.       5.
 34       4.  /   4.      687.     0        9.     176.      24.       5.
 30       4.  /   3.     1659.     0       21.      62.      79.       5.
 28       7.  /   6.       29.     0       33.      34.      30.       5.
 27       8.  /   7.     2062.     0       37.      55.      26.       5.
 26       7.  /   6.       31.     0       15.      10.      32.       5.
 25       8.  /   8.       31.     0        9.      67.      30.       5.
 24       4.  /   5.       40.     0        9.      74.      21.       5.
 23      10.  /   8.       37.     0       16.     -28.      25.       5.
 22      11.  /  11.       24.     1        6.      -4.       7.       5.
 21      10.  /   9.       28.     1       20.       6.      14.       5.
 20       7.  /   7.       35.     0       20.     -13.      24.       5.
 19      11.  /  11.       29.     1        6.      18.       4.       5.
 18      13.  /  13.       19.     1        5.       1.      11.       5.
 17      14.  /  13.        8.     1        6.       2.      11.       5.
 16      10.  /   9.       15.     1        8.       5.      41.       5.
 15       8.  /   7.       20.     1       13.      13.      22.       5.
 14      14.  /  13.       11.     1        6.       4.      13.       5.
 13      12.  /  12.       28.     1       13.      28.      18.       5.
 12      19.  /  19.       20.     1        5.       2.       6.       5.
 11      14.  /  12.       18.     1        8.     -12.      20.       5.
 
2011/10/7   5:22:10   /data/fit/20111007.bks.fitex
bmnum = 21   intt = 2   tfreq = 10407   noise_lev = 92   xcf = 0   scan = 0
npnts = 7   nrang = 100
gate  pwr_lag0/ pwr_l     vel    gscat  vel_err  width_l width_l_err pwr_l_err
 44       3.  /   3.       -8.     0       45.      49.      30.       5.
 43       4.  /   5.        3.     1       20.      16.      31.       5.
 12       3.  /   3.      -19.     0       28.      69.      45.       5.
 11       7.  /   5.       -3.     0       21.      56.      24.       5.
 10       5.  /   4.      -58.     0       30.      16.      43.       5.
  6       4.  /   3.     -565.     0       28.      89.      67.       5.
  3       4.  /   3.     1449.     0       14.     166.      81.       5.
 
2011/10/7   5:22:13   /data/fit/20111007.bks.fitex
bmnum = 7   intt = 2   tfreq = 10402   noise_lev = 117   xcf = 0   scan = 0
npnts = 21   nrang = 100
gate  pwr_lag0/ pwr_l     vel    gscat  vel_err  width_l width_l_err pwr_l_err
 48       7.  /   5.       -1.     1        9.      15.      26.       5.
 47       9.  /   8.       11.     1        7.      17.      15.       5.
 46      13.  /  12.        7.     1        8.      16.      12.       5.
 44       9.  /   7.        0.     1       14.      -2.      28.       5.
 28       4.  /   4.       60.     0       22.      -0.      52.       5.
 27       6.  /   6.       31.     0       18.      10.      14.       5.
 26       8.  /   8.       29.     1        6.      20.      15.       5.
 25       8.  /   7.       35.     0        6.      16.      16.       5.
 24       8.  /   7.       28.     1        8.      15.      11.       5.
 23       8.  /   8.       29.     1        6.      13.      11.       5.
 22      10.  /  10.       37.     0        6.      40.      21.       5.
 21       9.  /   8.       22.     1        8.       9.      11.       5.
 20      14.  /  13.       25.     1        5.      10.       5.       5.
 19      13.  /  12.       23.     1        4.     -11.      13.       5.
 18      13.  /  12.       33.     0        9.      24.      13.       5.
 17      12.  /  12.       28.     1        6.       3.       9.       5.
 16      13.  /  13.       16.     1        5.       7.      19.       5.
